epoch,Train_loss,Test_loss,Train_f1_score,Train_auroc,Test_f1_score,Test_auroc
1,0.04288916289806366,0.01506699901074171,0.06056737285158275,0.5827539067449621,0.022296708720450926,0.5046383197185657
2,0.024485943838953972,0.007941999472677708,0.13465573476140372,0.7720361468310386,0.2582270242982706,0.8026967046361692
3,0.01555936224758625,0.00782760325819254,0.19929959446752005,0.8615198900253177,0.2520061882275823,0.81394882286238
4,0.01728231832385063,0.009032534435391426,0.23904721764516917,0.8823955131036074,0.30666828695333004,0.7902701148692877
5,0.018325580283999443,0.0073555391281843185,0.26830064901899775,0.9012066128588565,0.29522824561023664,0.8172785068059732
6,0.020076805725693703,0.00709107518196106,0.29115707622441245,0.9175295132428881,0.317538842819453,0.8545325408528506
7,0.01240450143814087,0.011900209821760654,0.3188742315349489,0.9216281835436424,0.3450814006015773,0.8558398923173054
8,0.016850309446454048,0.006829017773270607,0.33630153723918266,0.9308405926735858,0.31360340671207315,0.8521046998899791
9,0.010093864053487778,0.007875105366110802,0.33751323578819586,0.9339700274430728,0.3373570950759191,0.8632897455007258
10,0.015119357034564018,0.008450577035546303,0.34764803288855634,0.9351825277414477,0.35616148434894734,0.861030804490903
11,0.01350803766399622,0.011539014056324959,0.3680211720049453,0.9386715525159032,0.3367265953725011,0.8643411051177229
12,0.011983404867351055,0.01881251111626625,0.37902443151703863,0.9399775823322342,0.35620244280952645,0.8607402170805779
13,0.01200179010629654,0.006156235467642546,0.383062880413323,0.944044798745879,0.3452825214162616,0.8676078885306081
14,0.008258704096078873,0.007813787087798119,0.38352083903456685,0.9433445893638919,0.32185774272335316,0.8626580683290417
15,0.010108469985425472,0.006506613455712795,0.3800081322644875,0.9439523430822684,0.36458332023432116,0.8655294469303223
16,0.007728633936494589,0.008562162518501282,0.38614269085556685,0.9445082241830751,0.34664363841398016,0.8625551535261642
17,0.009717680513858795,0.005911099724471569,0.3923735709670911,0.9452307410409293,0.3614772670252869,0.8694772376961883
18,0.00799452606588602,0.01128534134477377,0.4043122496853419,0.9493026559710144,0.3646812663239538,0.8637647355454932
19,0.011651131324470043,0.016965625807642937,0.40700490288628904,0.9496406290408448,0.3581840722077149,0.8681416269370718
20,0.009490471333265305,0.01582508534193039,0.40240382762155114,0.9490096325570488,0.3849602845259078,0.8646184002059062
21,0.007048610132187605,0.008414287120103836,0.40763059884210673,0.950693613965366,0.3745348638811685,0.8657874928413585
22,0.011257071979343891,0.007741007022559643,0.40909886991919864,0.9507248124659142,0.37457593455065835,0.8690019525065306
23,0.012814554385840893,0.007981151342391968,0.4065242473697497,0.9518520600586409,0.36323809172404675,0.858401708658131
24,0.008282412774860859,0.0074162851087749004,0.41357264257820364,0.953246325755042,0.39358033561835054,0.8654871715208994
25,0.012856622226536274,0.006481869611889124,0.4183873321314572,0.9534607752621798,0.37556498869838145,0.8687349974747602
